date,home,away,text
2015-01-23,Blackburn,Swansea,"Swansea, after suffering their heaviest defeat in over 20 years against Chelsea last week, will no doubt want to redeem themselves when they meet Blackburn Rovers on Saturday. Despite an emphatic 6-2 victory over Tranmere in the previous round, question marks surround the ability of Garry Monk’s side to hit the net following the sale of Wilfried Bony. His departure offers an opportunity to Bafétimbi Gomis but, as of yet, he has failed wholly to live up to expectations. Blackburn will relish the opportunity to host Premier League opposition as they look to strengthen their position in the Championship and push towards the play-off places. Henrietta Montague-Munson"
2015-01-23,Birmingham,West Bromwich Albion,"When these two sides last met, Roy Hodgson was in charge at The Hawthorns and Alex McLeish was Birmingham manager, and the Blues were also in the Premier League. How times have changed. Albion won that day and generally do when it comes to FA Cup games between these two rivals – Albion have gone through to the next round in six of the seven times they have met. Tony Pulis, however, may yet decide to prioritise Premier League survival over a run in the Cup. Ian McCourt"
2015-01-23,Aston Villa,AFC Bournemouth,"Might Eddie Howe’s high-flying Bournemouth have the best chance of causing a fourth-round upset? Before them on Sunday will be a struggling Aston Villa side who have scored one fewer league goal at home all season than Bournemouth did in October’s 8-0 trouncing of Birmingham City. The Cherries top the Championship despite losing their last match against Leeds United and, given the difficulty Paul Lambert’s men have in scoring at Villa Park, if Howe’s side can take the lead it could be their day. Jamie Jackson"
2015-01-23,Chelsea FC,Bradford,"There is a school of thought that with Wembley a home win away in the Capital One Cup and the prospect of a Champions League tie against PSG to negotiate alongside their title challenge, Chelsea may be happy to let the FA Cup go for a season. José Mourinho, however, has never been to that school. Bradford saw off Arsenal and Aston Villa to reach Wembley in the League Cup in 2013 – if the League One side were to add this scalp it would top even that achievement. Paul Chronnell"
2015-01-30,Manchester United,Leicester City,"There is even more intrigue than usual when Louis van Gaal names a Manchester United XI due to the manager’s constant chopping and changing of his personnel. This is causing the quite reasonable question: does the Dutchman, despite his vast experience, actually know his best team? The one he selected for the reverse fixture went down 5-3 to Leicester City on a September afternoon of crazy defending from Van Gaal’s side. A repeat at Old Trafford on Saturday afternoon and serious questions will surely be posed. Jamie Jackson"
2015-01-30,Chelsea FC,Manchester City,"José Mourinho has ‘empirical evidence’ that the world is against him. His star striker’s unwitting tread on the foot of an opponent has been ‘distorted’ into a stamping storm and suspension while the Chelsea manager himself is £25,000 lighter for having had the temerity to suggest that the world is indeed against him. He might be without not only Diego Costa but Cesc Fàbregas, who has a hamstring issue, against a City side who are having a wobble. Expect more fireworks. David Hytner"
2015-01-30,Liverpool FC,West Ham United,"Liverpool can leapfrog Sam Allardyce’s team with victory at Anfield, where West Ham United have not won in the league since The Beatles were at number one with ‘She Loves You’ in September 1963. Stewart Downing and Andy Carroll have a point to prove against the manager who ended their Anfield careers, Brendan Rodgers, but his team have taken 14 points from a possible 18 since losing to Manchester United and have Daniel Sturridge back for the first time since August. Andy Hunter"
2015-01-30,West Bromwich Albion,Tottenham Hotspur,"One of Alan Irvine’s high points at The Hawthorns was victory at White Hart Lane in September, and completion of a league double would maintain Albion’s impressive form since Tony Pulis arrived. Pulis will want to avoid a repeat of last season’s meeting when the home side led Tottenham 3-0 only to draw. Spurs arrive just three points off 4th place, and will be buoyed by Wednesday’s testing League Cup semi-final win against Sheffield United. Charles Crook"
2015-01-30,Arsenal FC,Aston Villa,"Arsenal have their man in Gabriel Paulista and should the Brazilian defender feature in this one then it could prove to be the gentlest debut he has ever made. After all, he’d be facing a team who have scored just once in their last seven league games. Arsenal, in contrast, are full of goals and full of confidence having won four in a row, including a 2-0 triumph at Manchester City. Sachin Nakrani"
2015-01-30,Southampton FC,Swansea,"With Wilfried Bony sold and Gylfii Sigurdsson suspended, Swansea travel to St Mary’s without the men responsible for most of their goals so far this season., leaving Gary Monk with plenty to medidate on as he ponders how to infiltrate the Premier League’s best defence Toby Alderweireld is still out injured for Southampton but Maya Yoshida has returned from international duty and could replace Florin Gardos in defence, while Sadio Mané could increase Saints’ firepower after coming back from the Africa Cup of Nations. The march of the Saints should continue. Paul Doyle"
2015-01-30,Hull City,Newcastle United,"Its been a poor start to 2015 for Hull City, who have failed to win since New Year’s Day. They are currently enduring a catastrophic run of injuries and Steve Bruce has openly criticised key players. Defeat to Newcastle United could send them bottom, but the away side have not won since Alan Pardew left. John Carver needs three points to quell doubts over his appointment. Charles Crook"
2015-01-30,Sunderland AFC,Burnley FC,"How many scouts will be watching Burnley’s much coveted Danny Ings? Might Jermain Defoe score his first goal in a Sunderland shirt? Can Gus Poyet preside over what would only be his team’s second Premier League win at the Stadium of Light all season? With the Uruguayan’s recent comments about Sunderland fans “living in the past” having not been well received on Wearside, Poyet desperately needs this classic relegation six pointer to conclude with a home win. Sean Dyche’s Burnley are unlikely to make it easy. Louise Taylor"
2015-01-30,Crystal Palace,Everton FC,"Crystal Palace have never enjoyed a league double over Everton, and have not beaten them at Selhurst Park since an Andy Preece goal secured victory in October 1994, but this would appear their best opportunity in a generation. Alan Pardew, who had scored a winner against the Merseysiders five years earlier, has won his four games in charge to date while Roberto Martínez’s team arrive with one win in 13 to their name. Level of points at start of play, b oth will consider this an opportunity to eke breathing space from the relegation cut-off. Dominic Fifield"
2015-01-30,Stoke City,Queens Park Rangers,"Stoke City are beginning to achieve some consistency, but have lost Bojan Krkic for the rest of the season to a knee injury. Mark Hughes’s task ahead of meeting his former employers is to find new inspiration in the Spaniard’s absence. Harry Redknapp also has a pressing mission to try to end QPR’s abysmal away form. The west Londoners have lost every single away league game so far, and another defeat will put their survival aspirations in more danger. Charles Crook"
2015-02-06,Swansea,Sunderland AFC,"Given their recent struggles both sides head into this game buoyed by good away victories, with Sunderland finding goalscoring form to win their FA Cup replay at Fulham and Swansea shrugging off some midfield absentees to win impressively at Southampton. Jermain Defoe opened his Sunderland account last week, and his goals could just keep them out of the relegation battle. Paul Chronnell"
2015-02-06,West Ham United,Manchester United,"Upton Park has been a difficult venue for visiting teams this season but Manchester United will fancy their chances given both of West Ham’s regular centre-backs, Winston Reid and James Collins, are doubtful with injuries. A chance, then, for Wayne Rooney to score for the first time in 2015, and perhaps from the halfway line, as he did during his last match at this stadium. Sachin Nakrani"
2015-02-06,Burnley FC,West Bromwich Albion,"Sean Dyche could name the same Burnley starting XI for the 10th Premier League game in a row, but Matt Taylor is pushing for a place in the squad after five months out. Darren Fletcher is set to go straight into a West Brom side looking to bounce back from their first defeat under Tony Pulis, who may decide to bench Saido Berahino after the striker’s ill-conceived interview this week. Rob Bleaney"
2015-02-06,Manchester City,Hull City,"Manuel Pellegrini’s side have just endured a second bumpy patch of form in this title-defence season and as this one has left them five points behind Chelsea with only 15 games remaining a third cannot be afforded. The manager has all of his players fit – a rarity – so he has no excuse for not fielding the strongest XI and for not defeating Steve Bruce’s strugglers, who are third-bottom. Jamie Jackson"
2015-02-06,Newcastle United,Stoke City,"It is some years since John Carver and Mark Hughes were on the same Pro Licence course but both men will be hoping to put theory into practice as Carver seeks his first home win since succeeding Alan Pardew. Much as Hughes has imbued Tony Pulis’s old Stoke side with new-found creativity, Carver’s side is rather more attack-minded than Alan Pardew’s, with the previously struggling – and often sidelined – Rémy Cabella suddenly blossoming under his guidance. Louise Taylor"
2015-02-06,Tottenham Hotspur,Arsenal FC,There were three north-London tussles last season and Arsenal won all of them while Tottenham went through another two managers. Mauricio Pochettino has been bold to play homegrown youth ahead of bigger names and has been rewarded. Both teams are on form and this promises to be another telling encounter between sides separated by one place and two points. Paul Chronnell
2015-02-06,Leicester City,Crystal Palace,"Two home wins from 11 are a worry and though the loanee Robert Huth is suspended, Riyad Mahrez is back from Equatorial Guinea in one piece. Palace have included Keshi Anderson, 19, after he scored a six-minute hat-trick against them last week and one for the under-21s after signing from non-league Barton Rovers for £30k. ‘The headlights are still full-on for him,’ said Alan Pardew. Mark Tallentire"
2015-02-06,Queens Park Rangers,Southampton FC,"An ability to thrive despite upheaval is something that QPR would do well to learn from Southampton but on Saturday Rangers would much rather see Saints flop. Unfortunately for them, Ronald Koeman’s team travel to Loftus Road determined to atone for their unexpected defeat to Swansea and should be bolstered by the returns of some key players. But with Chris Ramsey and Les Ferdinand taking charge following the resignation of Harry Redknapp, there is hope of an upswing in form for QPR, too. Paul Doyle"
2015-02-06,Everton FC,Liverpool FC,"Brendan Rodgers’ jaw almost hit the floor when it was put to him that both Merseyside rivals head in to the 224th derby in a good run of form. Liverpool have won eight of their past 14 matches, Everton two in 14. Hence his astonishment. Everton did collect a crucial first win of 2015 at Crystal Palace last Saturday and will need to maintain the dogged defending of Selhurst Park as Steven Gerrard looks to bow out of this historic fixture emphatically. Andy Hunter"
2015-02-06,Aston Villa,Chelsea FC,"Ron Vlaar’s return from injury will boost an Aston Villa defence which conceded five at Arsenal on Sunday. Joe Cole may also feature as Paul Lambert’s side seek a first league goal since 20 December. Chelsea, five points clear at the top and with their next four games against teams in the bottom half, welcome back Cesc Fàbregas but Diego Costa is still missing through suspension. Rob Bleaney"
2015-02-13,West Bromwich Albion,West Ham United,"Sam Allardyce’s pleasure getting the red card that was shown to Adrián in Wednesday’s 0-0 draw with Southamption overturned was tempered on Friday by the news that Andy Carroll could miss the rest of the season with a knee injury. The West Ham manager will also have to persist with midfielder Cheikhou Kouyaté in defence as centre-backs James Collins and Winston Reid are both still at least a week away from returning to full fitness. West Bromwich Albion, rejuvenated since Tony Pulis took charge in January, will fancy their chances, particularly now that their £10m record signing, Brown Ideye, has finally started to find his scoring touch. Rich Flower"
2015-02-13,Derby County,Reading FC,"This game could be a game for two strikers who were once among the leading scorers in the top flight. Darren Bent, on loan from Aston Villa, is expected to take the place of the injured Chris Martin in the Derby team while Yakubu Aiyegbeni is expected to feature for Reading after signing on a free transfer. A touch of Premier League class from either of them could make all the difference in a tight encounter. Rich Flower"
2015-02-13,Preston North End,Manchester United,"The Preston manager, Simon Grayson, and striker Jermaine Beckford have stunned Manchester United in the Cup once before, when their Leeds United team triumphed at Old Trafford in the third round five years ago. Beckford, the hero that day, is doubtful with an ear infection but Preston have regained momentum with three straight wins and are looking to become the second high-flying League One side to humiliate Louis van Gaal in domestic cup competition this season. Andy Hunter"
2015-02-13,Bradford,Sunderland AFC,"After conquering Chelsea at Stamford Bridge in the fourth round, can Phil Parkinson’s League One side do it again? Struggling in the top flight, Sunderland certainly look vulnerable while Gus Poyet has already voiced concerns about the state of Bradford’s pitch. Poyet, though, needs to win a few hearts and minds on Wearside after once again accusing Sunderland supporters of craving kick and rush football. Those comments have not gone down at all well with most fans vehemently disagreeing with him. Louise Taylor"
2015-02-13,Aston Villa,Leicester City,"Aston Villa’s caretaker manager team of Andy and Scott Marshall will take charge of their first game since Paul Lambert’s departure. Their opponents, Leicester City, were thought to have sacked their manager, Nigel Pearson, last Sunday but the former Middlesbrough captain remains in charge. Defeat on Sunday seems unlikley to have much bearing on the situation, with top-flight survival a priority. Rich Flower"
2015-02-13,Crystal Palace,Liverpool FC,"Liverpool’s last visit to Selhurst Park, back in November, arguably proved a watershed moment in this campaign with Brendan Rodgers reshaping his side in the wake of that thumping. There have been only two defeats in 21 matches in all competitions since, the sense that it is their destiny to claim this competition and give Steven Gerrard a proper send off growing with each round. The captain will be absent injured in the fifth round and this appears awkward. The Merseysiders have not won at Palace in six attempts and Alan Pardew’s presence will conjure memories of Villa Park in 1990. This is a test. Dominic Fifield"
2015-02-13,Blackburn,Stoke City,"Fifty-three years have passed since these clubs last met in the Cup, a fourth-round tie won 1-0 at home by Stoke City, also the score the only other time they have faced each other in the competition, in 1906. Blackburn Rovers are the hosts on Saturday and the team currently placed ninth in the Championship should be wary of Stoke, who, despite losing 4-1 to Manchester City in midweek, were the better side before the break and are enjoying their best period of form for a while. Jamie Jackson"
2015-02-13,Arsenal FC,Middlesbrough FC,"The holders will fancy their chances of reaching the last eight but this is by no means a straightforward assignment. Boro come in to this tie on the back of five successive league wins and buoyed by their stunning 2-0 win over Manchester City in the last round. Gabriel could make his debut at the back and Wojciech Szczesny will return in goal – with the Gunners the only side still fighting in the Cup and the Champions League, Arsène Wenger’s other changes will be interesting to see. John Ashdown"
2015-02-20,Tottenham Hotspur,West Ham United,"Tottenham Hotspur have begun their Europa League knockout campaign and so will have the difficult task of managing Thursday night matches. This as an opportune moment for West Ham to head to White Hart Lane and if they are triumphant then European qualification hopes will be ignited. Most importantly for Spurs, Harry Kane returns after being rested in midweek. Graham Searles"
2015-02-20,Swansea,Manchester United,"Swansea City’s best performance this season came in the reverse fixture on the opening day when Garry Monk’s side pulled off a dramatic 2-1 win at Old Trafford. Since then Swansea have been inconsistent and one fears for the Swans hosting United, with their current ability to get results without playing dazzling football. Louis van Gaal knows a win is important to keep the chasing pack looking for Champions League qualification at bay. Graham Searles"
2015-02-20,Sunderland AFC,West Bromwich Albion,"Tony Pulis is probably the last person Gus Poyet wants to meet right now. Sunderland’s manager cannot be overly delighted at the prospect of clapping eyes on Brown Ideye, West Brom’s in-form £10m striker either as Pulis’s renascent side aim to exacerbate the Uruguayan’s recent misery. After writing an extraordinary open letter to Sunderland fans, begging for their backing, Poyet could do with his side registering what would be only their third home league win all season. Should they stumble, what happens next is anyone’s guess. Louise Taylor"
2015-02-20,Aston Villa,Stoke City,"Tim Sherwood officially takes charge of his first game as Aston Villa manager against Stoke City. He certainly talks a good game but turning around his side’s recent form will be a very tough task. However, there is no better time to face Stoke City at home as they have lost 4-1 in consecutive matches on the road. Mark Hughes will not want to witness a third away drubbing and will be looking to upset Sherwood on his debut. Graham Searles"
2015-02-20,Everton FC,Leicester City,"Nigel Pearson’s bottom-placed side arrive at Goodison Park on the back of four consecutive defeats and will hope a Thursday night game on an artificial pitch has taken a toll on Everton. Roberto Martínez’s side again showed they are more at home in the Europa League than domestically with the 4-1 win over Young Boys in Bern. Confidence should have improved as a result, although Everton have won only two of six matches following European exertions so far this season. Andy Hunter"
2015-02-20,Manchester City,Newcastle United,"Manchester City welcome Wilfried Bony to their ranks for the first time on match-day as the champions’ quest to maintain pressure on Chelsea continues when Newcastle United visit for the late kick-off. With José Mourinho’s side seven points ahead and only 13 matches remaining, City’s challenge is to go for a maximum return of 39 and hope Chelsea slip up. As it is seven years since the Magpies managed even a draw against City in the Premier League, Manuel Pellegrini should feel confident. Jamie Jackson"
2015-02-20,Hull City,Queens Park Rangers,"Hull City and QPR’s fortunes both improved last time out after much-needed victories and neither side find themselves in the relegation zone now. Chris Ramsey presided over QPR’s first away win of the season and he will be looking for a repeat performance to stay out of trouble. Steve Bruce, meanwhile, will want new signing Dame N’Doye to build on his promising debut. Graham Searles"
2015-02-20,Crystal Palace,Arsenal FC,Victory at Selhurst Park would lift Arsenal into the top four for at least 24 hours and also set them up nicely for their last-16 Champions League tie against Monaco on Wednesday. Arsène Wenger’s side have lost once since New Year’s Day and they are starting to build some momentum. Yet Crystal Palace are likely to be difficult opponents. They still need a few more points to ensure that they are not dragged into the relegation scrap. Jacob Steinberg
2015-02-20,Southampton FC,Liverpool FC,"This contest will provide another test of Southampton’s staying power, with Ronald Koeman’s side attempting to rekindle some of their trademark verve after one win in four matches in all competitions. They confront a Liverpool team who have found their own upbeat rhythm, with one loss in 17 and, in Adam Lallana, Rickie Lambert and Dejan Lovren, players who will relish returning to their former haunts. Only four points separate these sides at kick‑off. Each can deliver a statement of renewed intent with victory. Dominic Fifield"
2015-02-20,Chelsea FC,Burnley FC,"José Mourinho will be supremely confident Chelsea can sweep Burnley aside and continue their march towards the Premier League title. Diego Costa returns to the starting lineup after suspension, which will strike fear into Burnley hearts. Sean Dyche, however, will remind his players of Bradford’s unbelievable FA Cup upset at Stamford Bridge and will want them to reproduce that magic. Graham Searles"
2015-02-27,Liverpool FC,Manchester City,"The Premier League’s in-form team host the reigning champions but both will be smarting from painful European experiences this week. Brendan Rodgers claimed City would have a “crucial” advantage owing to Liverpool’s Europa League trip to Besiktas, and that was before the tie went to extra time and his squad arrived back from Istanbul at 4.19am on Friday owing to a delayed flight. A comparatively refreshed City can exert more pressure on Capital One Cup finalists Chelsea by closing the gap to two points with a first win at Anfield since May 2003. Andy Hunter"
2015-02-27,Chelsea FC,Tottenham Hotspur,"Wembley will host a repeat of the 2007-08 final, when Juande Ramos’s Tottenham triumphed over Avram Grant’s Chelsea in extra time. Grant paid the price for defeat and was sacked the following May while Ramos made it to October before Daniel Levy moved him on. Neither manager looks vulnerable this time around but José Mourinho would love to seal a trophy after hopes of a quadruple were dashed by Bradford City last month. Rich Flower"
2015-02-27,Arsenal FC,Everton FC,Arsenal host Everton still smarting from Champions League humiliation against Monaco – but it is the visitors who seem more prone to a European hangover – despite convincing progress against Young Boys. Roberto Martínez’s side have won just twice from seven Premier League games after Thursday night Europa League action –and that was against relegation-threatened Burnley and QPR. Toby Moses
2015-02-27,Burnley FC,Swansea,"Burnley have travelled more miles than any other top-flight side this season so will welcome the luxury of a home fixture. Swansea are 15 points away from the bottom three, 10 points short of the top four and went out of the FA Cup at Blackburn last week and thus would appear to have little to play for in their final 12 games. Sean Dyche’s side must make the most of games like this if they are to defy the odds and stay up. Rich Flower"
2015-02-27,Manchester United,Sunderland AFC,"Robin van Persie’s ankle injury offers Radamel Falcao another chance to impress in attack after an underwhelming spell so far at Manchester United. He is likely to be partnered in attack by James Wilson, who has, arguably, outshone his more illustrious – and considerably higher paid – team-mate this season. Sunderland, with one win from their past 10 league games, need at least a point on Saturday to guarantee they will not be sucked into the bottom three. Rich Flower"
2015-02-27,West Bromwich Albion,Southampton FC,"After losing 2-0 at home against Liverpool, Southampton will be happy to get back on the road, where recent results have been much better and helped to sustain their pursuit of a place in the top four. Ronald Koeman’s side have taken 13 points from a possible 15 away, although they will have to be at their best to continue that run against Albion, who are edging clear of the relegation zone and looking for a fifth clean sheet in seven league games under Tony Pulis. Stuart James"
2015-02-27,West Ham United,Crystal Palace,"West Ham have conceded last-minute equalisers against Manchester United and Tottenham and crashed out of the FA Cup during a frustrating run of five matches without a victory. Yet they will be confident of getting back to winning ways against Crystal Palace, who are five points above the bottom three. Alan Pardew’s side have injury worries in attack, Fraizer Campbell, Marouane Chamakh and Yaya Sanogo all unavailable. Jacob Steinberg"
2015-02-27,Newcastle United,Aston Villa,"Jonás Gutiérrez is expected to be back on Newcastle’s bench after recovering from testicular cancer with John Carver hoping his comeback lifts the mood in the wake of last weekend’s 5-0 thrashing at Manchester City. If Carver could do with a reassuring victory, Tim Sherwood will sense an opportunity to secure the first win of his Villa tenure. It should be intriguing to assess precisely how much more direct the new manager is making Paul Lambert’s old team. With both sides extremely swift on the break, this promises to be all about counter-attacking. Louise Taylor"
2015-02-27,Stoke City,Hull City,Hull have recovered well this month after a dreadful January in which they took only three points from a possible 12. Wins over Aston Villa and QPR and a draw at Manchester City have lifted Hull to 15th but Steve Bruce is under no illusions and has warned his players they remain in a “horrible dogfight”. Stoke welcome back Geoff Cameron after a ban but are still missing Ryan Shawcross. Rich Flower
2015-03-06,Queens Park Rangers,Tottenham Hotspur,"Chris Ramsey will take pride from seeing so many of the players he coached as youngsters now performing well in Tottenham’s senior team but will also hope that Ryan Mason, Danny Rose, Andros Townsend and Harry Kane have off-days at Loftus Road. The apparent revival of Aston Villa under Ramsey’s former colleague Tim Sherwood increases the difficulty of the task facing Queens Park Rangers as they try to escape relegation. Much could depend on which of the top flight’s leading English scorers gets the better service: Ramsey has Charlie Austin but Spurs will be confident Kane will prevail. Paul Doyle"
2015-03-13,Burnley FC,Manchester City,"These two sides met at the Etihad at the end of last year, and as Sean Dyche put it “a scratch of luck” helped Burnley claw back a 2-0 deficit to end the game 2-2. Dyche will have his fingers crossed for more of the same on Saturday, but the game will mean just as much to City who know they can’t afford to drop any more points if they have any chance at all of catching Chelsea for the title. Sean Morrison"
2015-03-13,Crystal Palace,Queens Park Rangers,"QPR have lost seven of their last eight league matches and yet they will go into this game with a degree of confidence, as they are somehow still within touching distance of safety and there has been a slight upswing in performances since Chris Ramsey replaced Harry Redknapp, even if results have not reflected that. If Rangers can abstain from ruining good general displays with sudden defensive mistakes, they might just get a positive result at Selhurst Park, where Palace remain a little vulnerable. Paul Doyle"
2015-03-13,Chelsea FC,Southampton FC,"José Mourinho has been at pains to draw a line under Chelsea’s midweek elimination from Europe, with his players apparently fit, focused and eager to return to domestic matters where a Premier League title must be claimed. Efforts will be made to liberate Diego Costa and revive Cesc Fàbregas after recent stodgy form, and Southampton will arrive braced for a backlash and have been suffering themselves of late – even their much-needed 1-0 win over Crystal Palace was not fluent. Both these teams are in need of a performance. Dominic Fifield"
2015-03-13,West Bromwich Albion,Stoke City,"After eight years as Stoke City’s manager, Tony Pulis entertains his former club knowing a win could take West Brom almost comfortably clear of the relegation zone. Mark Hughes, who has surprisingly presided over a higher win rate than Pulis since taking charge, will be looking to disturb the Baggies’ good form at home, where they have kept five clean sheets in their last six games in all competitions. Sean Morrison"
2015-03-13,Arsenal FC,West Ham United,"In a perfect world Arsène Wenger would be casting an eye towards Tuesday’s Champions League second leg in Monaco and tailoring his team accordingly, but so tight is the battle for top-four places, and so slender are Arsenal’s chances of progress to the quarter-finals after their first-leg disaster and 3-1 defeat, he has no margin for error against a West Ham side who have slipped to 10th but are still very capable, especially under the guidance of Sam Allardyce who will be keen to rediscover his old habit of getting under Wenger’s skin. Paul Chronnell"
2015-03-13,Manchester United,Tottenham Hotspur,"Now is the time for Louis van Gaal and his expensive squad of highly paid players to prove their worth to Manchester United as Tottenham Hotspur’s arrival for the late Sunday game starts the campaign’s crucial phase. United stand only three points ahead of Spurs in fourth place in the “rat race”, as Van Gaal continues to call it, for a Champions League berth. Next for United are Liverpool, at Anfield, before Manchester City and Chelsea are opponents in two of the following three matches. Jamie Jackson"
2015-03-13,Swansea,Liverpool FC,"Liverpool will arrive in Wales looking to continue the form that has taken them back into top-four contention: unbeaten in the league in 2015 and buoyed by recent wins over Manchester City, Southampton and Spurs. Swansea lost the reverse fixture 4-1 but Garry Monk’s side will not be overawed – in their last home game they came from behind to beat Manchester United 2-1. Sean Morrison"
2015-03-13,Everton FC,Newcastle United,"Two Europa League meetings with Dynamo Kyiv followed by Newcastle United and then QPR in the Premier League could be a defining period in Everton’s season and the reign of Roberto Martínez. Tension was palpable inside Goodison Park against the Ukrainian league leaders, something John Carver’s side will look to capitalise on as they bid to improve a poor run of one win in eight Premier League away matches, but Everton held their nerve and rediscovered their verve to record a merited win. They must start in that vein on Sunday with the threat of relegation creeping. Andy Hunter"
2015-03-13,Sunderland AFC,Aston Villa,"A big crowd, possibly in excess of 45,000, is expected as struggling Sunderland aim to end a run of five Premier League games without a win in this classic relegation “six-pointer”. Should Tim Sherwood choreograph a third straight victory for Aston Villa the mood on Wearside could well turn ugly. If Gus Poyet would be well advised to have a tin hat at hand on a day when he must cope without the suspended Lee Cattermole and Adam Johnson, Sherwood remains wary of Jermain Defoe’s potential penalty area menace. Louise Taylor"
2015-03-13,Leicester City,Hull City,"Leicester’s desperate scramble for a way out of the bottom three continues, and if ever there was a window of opportunity this could be it. Steve Bruce’s Hull have won only one of their last 13 away matches, and have won only one of their last seven league meetings with Leicester. Kasper Schmeichel is back for rock-bottom Leicester, after four months out, to face a team who have failed to score in seven of their last 10 away league games. Sean Morrison"
2015-03-20,Tottenham Hotspur,Leicester City,"Mauricio Pochettino has had one of his easiest weeks at Tottenham Hotspur. All the manager has had to do is mention last Sunday’s disaster at Manchester United. It was arguably the worst performance of his tenure and the players know that it is incumbent on them to return to their true levels. Leicester won 2-1 at White Hart Lane in the FA Cup in January, but they would trade that for three points in their survival fight. David Hytner"
2015-03-20,Newcastle United,Arsenal FC,"If life at Newcastle United remains one of football’s most enduring serial dramas, the latest plot-line has assumed a distinctly medical tone with assorted injuries leaving John Carver selecting from a skeleton squad. Aware of Papiss Cissé and Fabricio Coloccini’s suspensions, Arsène Wenger will sense an opportunity for Arsenal to mitigate their midweek Champions League disappointment against Monaco by continuing to conclude the League campaign in convincing style. Holland’s Daryl Janmaat, one of Carver’s two available senior defenders, will relocate from right-back to replace Coloccini at centre-half. Louise Taylor"
2015-03-20,Liverpool FC,Manchester United,"The fierce rivalry will have an added edge at Anfield with both teams in pursuit of a top-four finish, possibly at the other’s expense, and Liverpool looking to avenge December’s 3-0 defeat at Old Trafford. That result left Brendan Rodgers’ team 10th in the table and 10 points behind United but their recovery has been outstanding, with 33 points taken from the last 39 available. Louis van Gaal’s men must maintain the impressive shown form against Spurs last Sunday or risk being overtaken. Andy Hunter"
2015-03-20,Hull City,Chelsea FC,"José Mourinho knows that with a six-point lead, a game in hand, and faltering rivals the title should be a formality. But the home draws with Southampton and Burnley and the European exit to PSG have exposed some hitherto unnoticed flaws. Chelsea need to show they are not flagging on Sunday, but Hull, just three points above the relegation places, cannot afford to be obliging hosts. Paul Chronnell"
2015-03-20,Queens Park Rangers,Everton FC,"Everton’s long journey back from Ukraine following Thursday night’s Europa League elimination by Dynamo Kyiv, and their chaotic defending in that match, will give QPR hope that they can get the win they badly need to kickstart their survival bid. But QPR’s abject display against Crystal Palace last week must leave Chris Ramsey wondering whether he has anybody who can be relied upon to rise to the occasion. Roberto Martínez will likely be more optimistic than the home manager. Paul Doyle"
2015-03-20,West Ham United,Sunderland AFC,"Dick Advocaat’s rescue mission begins at Upton Park. Sunderland replaced Gus Poyet with the Dutchman after the chastening 4-0 home defeat to Aston Villa and hope that he can steer them clear of relegation. Advocaat will see the trip to east London as a good opportunity to hit the ground running as West Ham have not won in the league since 18 January and are likely to be without several key players, including Winston Reid. Jacob Steinberg"
2015-03-20,Manchester City,West Bromwich Albion,"After the midweek travails in Catalonia that ended Manchester City’s Champions League dreams at the hands of Barcelona for a second successive year, West Brom’s visit allows Manuel Pellegrini’s beleaguered team to get back on track. That is the hope, of course. But with a record of three wins in their last 12 outings, City’s confidence is low and Albion are sure to make this an awkward early kick-off for the champions. Jamie Jackson"
2015-03-20,Southampton FC,Burnley FC,"Burnley’s survival battle looked doomed at the start of the month, but last Saturday’s defeat of the champions Manchester City has the Turf Moor faithful believing again, and Sunderland are looking vulnerable above them. Southampton are involved at the other end of the table, and their draw at Stamford Bridge showed why they have not yet given up on finishing in the top four. Paul Chronnell"
2015-03-20,Aston Villa,Swansea,"After lifting the gloom at Villa Park and overseeing three straight wins, including that 4-0 thumping at Sunderland last Saturday, the challenge for Tim Sherwood now is to maintain momentum. With no change on the injury front, Sherwood’s only selection dilemma is whether Leandro Bacuna, who was excellent at Sunderland, should keep his place now that Alan Hutton is back from suspension. Garry Monk, Swansea’s manager, is expected to be able to call upon Federico Fernández, who missed the Liverpool defeat on Monday for personal reasons. Stuart James"
2015-03-20,Stoke City,Crystal Palace,"Having dispatched QPR last Saturday, relegation fears are receding for Palace, but Alan Pardew will be keen for them not to get into flip-flops mode just yet. With a takeover of the club imminent, the Palace squad know an overhaul could be on the cards in the summer. Mark Hughes’s Stoke side sit in eighth, probably the summit of their ambitions, and look capable of staying there. Paul Chronnell"
2015-04-03,West Bromwich Albion,Queens Park Rangers,"Tony Pulis was typically assertive when he said on Friday that West Brom had “gone off the rails” in recent seasons and he is looking to rebuild the club from top to bottom. He has certainly improved West Brom but they could struggle if Saido Berahino and Brown Ideye fail late fitness tests. That said, QPR’s away form has been dreadful this season, so Pulis will surely remain confident. Graham Searles"
2015-04-03,Chelsea FC,Stoke City,"There may be no Diego Costa from the start against Stoke, but Chelsea will still aspire to move further clear at the top of the division with victory in Saturday’s late kick-off. Loïc Rémy’s winner at Hull City in their last fixture may end up as one of the campaign’s key goals. Stoke are safe and, despite having lost their last two games, will test the hosts’ resolve. “A difficult team,” said José Mourinho. An awkward, if not daunting, afternoon lies ahead for the leaders. Dominic Fifield"
